,gid_x,Weight_y,Age_y,LevelReason,Location_y,CurrentStatus,Level_y,Sex_y,AnimalID,HW_y
45,1211132308579392,33,00 year(s) 08 month(s) 17 day(s),L1,Dogs 067 B1,Available,L1,F,A0059083921,-
46,1211133142789719,47,05 year(s) 00 month(s) 14 day(s),L1,Dogs 081 A6,Available,L1,F,A0059104668,-
47,1211133465141930,47,05 year(s) 00 month(s) 14 day(s),L1,Dogs 081 A6,Available,L1,F,A0059104668,-
48,1211127652724715,58,05 year(s) 00 month(s) 15 day(s),L1,Dogs 079 B2,Available,L1,M,A0059101512,-
49,1211123430842700,49,01 year(s) 00 month(s) 14 day(s),L1,Dog Pre/Post Op 138 1,Court,L1,M,A0059114218,-
50,1211178100916519,28,00 year(s) 07 month(s) 14 day(s),L3-BH,Dogs 081 A2,Priority,L3,F,A0059106400,-
51,1211073054176671,24,00 year(s) 07 month(s) 13 day(s),L1,Dog Quarantine A7,Available,L1,F,A0059108996,-
52,1211132524887967,59,03 year(s) 00 month(s) 13 day(s),L1,Dogs 081 B6,Available,L1,N,A0059117627,-
53,1211132962246746,35,01 year(s) 06 month(s) 13 day(s),L1,Foster Trial Adoption,Trial Adoption,L1,N,A0059114457,-
54,1211073418431836,33,12 year(s) 00 month(s) 14 day(s),L1,Foster Foster Home,Available,L1,F,A0059105531,-
55,1211127786536249,30,00 year(s) 10 month(s) 12 day(s),L1,Foster Trial Adoption,Trial Adoption,L1,S,A0059122204,-
56,1211129918245514,49,07 year(s) 00 month(s) 09 day(s),L1,Dogs 079 B3,Available,L1,N,A0059117737,-
57,1211127683965405,45,05 year(s) 00 month(s) 11 day(s),L1,Dogs 079 B1,Available,L1,F,A0059083932,+
58,1211075321242452,44,00 year(s) 08 month(s) 17 day(s),L1,Dogs 088 A5,Available,L1,N,A0057801258,-
59,1211130097928986,55,02 year(s) 00 month(s) 10 day(s),L1,Dogs 088 A2,Available,L1,M,A0059192800,-
60,1211129964106355,37,00 year(s) 09 month(s) 10 day(s),L1,Dogs 088 A9,Available,L1,F,A0059191607,-
61,1211173423573160,37,00 year(s) 09 month(s) 10 day(s),L1,Dogs 088 A9,Available,L1,F,A0059191607,-
62,1211133083549512,37,00 year(s) 08 month(s) 10 day(s),L1,Dogs 088 B2,Available,L1,M,A0059188328,-
63,1211184727905332,50,03 year(s) 00 month(s) 04 day(s),L1,Dogs 066 A4,Available,L1,M,A0059188894,-
64,1211141101315926,30,01 year(s) 00 month(s) 20 day(s),L1,Dogs 066 A2,Available,L1,S,A0059070135,-
65,1211184662452844,34,00 year(s) 10 month(s) 10 day(s),L1,Dogs 067 B5,Available,L1,M,A0059187326,-
66,1211173660412276,39,04 year(s) 00 month(s) 11 day(s),L1,Clinic Clinic,Available,L1,S,A0059121527,+
67,1211154861668226,36,01 year(s) 06 month(s) 11 day(s),L1,Dogs 081 A10,Priority,L1,F,A0059187897,-
68,1211132840634228,27,00 year(s) 08 month(s) 10 day(s),L1,Dogs 081 A1,Adopted,L1,S,A0059197190,-
69,1211173835993209,39,02 year(s) 00 month(s) 10 day(s),L1,Dogs 088 B7,Available,L1,F,A0059194156,-
70,1211131364153738,45,00 year(s) 07 month(s) 11 day(s),L1,Dogs 088 B8,Available,L1,S,A0058925965,-
71,1211154690942726,45,04 year(s) 00 month(s) 08 day(s),L1,Dogs 081 B9,Priority,L1,F,A0059207050,-
72,1211129996699029,40,00 year(s) 09 month(s) 09 day(s),L1,Dogs 088 B6,Available,L1,F,A0059201841,-
73,1211075138909313,46,01 year(s) 00 month(s) 12 day(s),L1,Dogs 066 A5,Available,L1,N,A0059125495,-
74,1211166891088051,22,05 year(s) 00 month(s) 08 day(s),L1,Dogs 067 B4,Adopted,L1,F,A0059208675,-
