,gid_x,Weight_y,Age_y,LevelReason,Location_y,CurrentStatus,Level_y,Sex_y,AnimalID,HW_y
1284,1210971523907783,65,03 year(s) 00 month(s) 24 day(s),L1,Dogs 306 B6,Available,L1,N,A0059042443,-
1285,1210971523907791,65,03 year(s) 00 month(s) 24 day(s),L1,Dogs 306 B6,Available,L1,N,A0059042443,-
1286,1210971522907631,50,01 year(s) 00 month(s) 24 day(s),L1,Dogs 603 B4,Available,L1,M,A0059042315,-
1287,1210971523846281,50,01 year(s) 00 month(s) 24 day(s),L1,Dogs 603 B4,Available,L1,M,A0059042315,-
1288,1210971737494689,50,03 year(s) 00 month(s) 24 day(s),L1,Dogs 064 A3,Adopted,L1,M,A0059041470,-
1289,1210971737494697,50,03 year(s) 00 month(s) 24 day(s),L1,Dogs 064 A3,Adopted,L1,M,A0059041470,-
1290,1210971523300830,66,03 year(s) 00 month(s) 04 day(s),L1,Dog Pre/Post Op 138 2,Available,L1,M,A0059037447,-
1291,1210971523300838,66,03 year(s) 00 month(s) 04 day(s),L1,Dog Pre/Post Op 138 2,Available,L1,M,A0059037447,-
1292,1210971737087948,51,01 year(s) 00 month(s) 25 day(s),L1,Dogs 067 A4,Available,L1,M,A0059037942,-
1293,1210971737087956,51,01 year(s) 00 month(s) 25 day(s),L1,Dogs 067 A4,Available,L1,M,A0059037942,-
1294,1210959747114393,35,00 year(s) 08 month(s) 26 day(s),L3-SF,Foster Foster Home,Available,L3,M,A0059026165,-
1295,1210959747114401,35,00 year(s) 08 month(s) 26 day(s),L3-SF,Foster Foster Home,Available,L3,M,A0059026165,-
1296,1210959747120400,68,,L3- BR/ SF/ A,Dogs 402 1,Rescue,L3,M,A0059036321,+
1297,1210959747120408,68,,L3- BR/ SF/ A,Dogs 402 1,Rescue,L3,M,A0059036321,+
1298,1210956798204674,41,02 year(s) 00 month(s) 27 day(s),L1,Dogs 601 8,Available,L1,F,A0059031231,-
1299,1210956798204682,41,02 year(s) 00 month(s) 27 day(s),L1,Dogs 601 8,Available,L1,F,A0059031231,-
1300,1210956797922639,35,00 year(s) 09 month(s) 26 day(s),L1,Dogs 306 B1,Available,L1,F,A0059031986,-
1301,1210956797922647,35,00 year(s) 09 month(s) 26 day(s),L1,Dogs 306 B1,Available,L1,F,A0059031986,-
1302,1210956513458923,34,00 year(s) 08 month(s) 26 day(s),L1,Foster Foster Home,Available,L1,N,A0059033724,-
1303,1210956513458931,34,00 year(s) 08 month(s) 26 day(s),L1,Foster Foster Home,Available,L1,N,A0059033724,-
1304,1210956797553677,46,01 year(s) 00 month(s) 27 day(s),L1,Foster Trial Adoption,Trial Adoption,L1,N,A0059015809,-
1305,1210956797685288,46,01 year(s) 00 month(s) 27 day(s),L1,Foster Trial Adoption,Trial Adoption,L1,N,A0059015809,-
1306,1210956513244686,75,,L2-A,Dogs 066 A6,Available,L2,F,A0059020042,
1307,1210956513244694,75,,L2-A,Dogs 066 A6,Available,L2,F,A0059020042,
1308,1210954177705459,45,07 year(s) 00 month(s) 27 day(s),L1,Dogs 068 A3,Priority,L1,F,A0059027650,-
1309,1210954177705467,45,07 year(s) 00 month(s) 27 day(s),L1,Dogs 068 A3,Priority,L1,F,A0059027650,-
1310,1210954502822583,41,03 year(s) 00 month(s) 27 day(s),L1,Foster Trial Adoption,Trial Adoption,L1,M,A0059030945,-
