"AnimalNumber","AnimalType","AnimalName","Age","ColorAndBreed","Stage","Location","SubLocation","DateOfBirth","Sex","AnimalWeight","NumberOfPictures","IntakeDateTime","ARN","MicrochipNumber"
"A0060201542","Dog","Coco Nibbles","05 year(s) 02 month(s) 00 day(s)"," Black / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Priority","Dogs 068","B5","2/2/2021 12:00 AM","S","43","3","2/2/2026 03:35 PM","L2-JM","982091072948981"
"A0060202189","Dog","Vigilant","06 year(s) 01 month(s) 30 day(s)"," Brown / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Priority","Dogs 306","A3","2/3/2020 12:00 AM","N","59","3","2/2/2026 04:53 PM","L1",""
"A0060204491","Cat","Toastadito-ADOPTED","00 year(s) 07 month(s) 30 day(s)"," Orange / White Domestic Shorthair / Mix","Adopted","Foster","Pre-Fix","8/3/2025 12:00 AM","M","6.22","1","2/3/2026 11:10 AM","L1","941010004848150"
"A0060205290","Dog","Richard","02 year(s) 01 month(s) 30 day(s)"," Black / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Priority","Foster","Foster Home","2/3/2024 12:00 AM","N","73","3","2/3/2026 12:16 PM","L2-A","941010004301942"
"A0060206886","Dog","Betty Mighty","00 year(s) 11 month(s) 30 day(s)"," White / Tan Terrier, Pit Bull / Mix","Available","Foster","Foster Home","4/3/2025 12:00 AM","S","30.8","3","2/3/2026 03:05 PM","L1","941010004846960"
"A0060207076","Dog","Dr Red","00 year(s) 11 month(s) 30 day(s)"," Red / White Terrier, Pit Bull / Mix","Priority","Dogs 401","2","4/3/2025 12:00 AM","N","37.4","3","2/3/2026 03:05 PM","L3- A/ MG","941010004155586"
"A0060207526","Dog","Max","01 year(s) 01 month(s) 29 day(s)"," White / Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","2/4/2025 12:00 AM","N","48.2","3","2/3/2026 03:15 PM","L2-A/BH","941010004041369"
"A0060208636","Dog","Mama Girl","01 year(s) 01 month(s) 27 day(s)"," Tan / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Priority","Dogs 406","B4","2/6/2025 12:00 AM","S","43.6","2","2/3/2026 05:07 PM","L3-BR/SF","941010004042602"
"A0060211019","Dog","Hanky","07 year(s) 01 month(s) 28 day(s)"," Grey / White Terrier, Pit Bull / Mix","Priority","Dogs 306","B7","2/5/2019 12:00 AM","M","61.8","1","2/4/2026 11:07 AM","L2-OA","941010004067703"
"A0060214162","Cat","Cake Frosting-ADOPTED","00 year(s) 03 month(s) 28 day(s)"," Grey / White Domestic Shorthair / Mix","Adopted","Foster","Pre-Fix","12/5/2025 12:00 AM","M","2.25","1","2/4/2026 03:19 PM","L1","941010004132296"
"A0060214776","Cat","Mochi- ADOPTED","00 year(s) 03 month(s) 28 day(s)"," Black / White Domestic Shorthair / Mix","Adopted","Foster","Pre-Fix","12/5/2025 12:00 AM","M","1.93","1","2/4/2026 04:24 PM","L1","941010004133310"
"A0060215683","Dog","King-ADOPTED","00 year(s) 07 month(s) 29 day(s)"," White / Brindle Terrier, Pit Bull / Mix","Trial Adoption","Foster","Trial Adoption","8/4/2025 12:00 AM","N","50","3","2/4/2026 06:41 PM","L1","941010004843755"
"A0060218498","Dog","Iconic","04 year(s) 01 month(s) 27 day(s)"," Black / White Boxer / Mix","Priority","Dogs 606","B2","2/6/2022 12:00 AM","N","46.6","3","2/5/2026 02:06 PM","L1","941010004029860"
"A0060222349","Dog","Morocco","01 year(s) 07 month(s) 23 day(s)"," Tan Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Dogs 503","A2","8/10/2024 12:00 AM","N","54.2","3","3/28/2026 02:30 PM","L1","985113010236268"
"A0060225234","Dog","Spike","07 year(s) 07 month(s) 15 day(s)"," Black / Brown Mastiff / Mix","Priority","Dogs 502","2","8/18/2018 12:00 AM","N","83.5","3","2/6/2026 12:49 PM","L3-A","941010004037072"
"A0060228595","Dog","Haller","03 year(s) 07 month(s) 24 day(s)"," Brown Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Caution-Not Visible","Dogs 302","2","8/9/2022 12:00 AM","N","58","3","3/29/2026 03:19 PM","STAFF ONLY","941010004070375"
"A0060228739","Dog","Ness","02 year(s) 01 month(s) 26 day(s)"," Brindle Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Priority","Dogs 506","B2","2/7/2024 12:00 AM","N","53.2","3","2/6/2026 07:59 PM","L1","985113010491380"
"A0060231347","Dog","Apollo- ADOPTED","06 year(s) 01 month(s) 25 day(s)"," Brown / White Bulldog, American / Mix","Adopted","Foster","Pre-Fix","2/8/2020 12:00 AM","M","56","1","2/7/2026 09:03 PM","L1","941000030438020"
"A0060235500","Cat","Carabiner -ADOPTED","00 year(s) 05 month(s) 23 day(s)","Tabby White / Brown Domestic Shorthair / Mix","Adopted","Foster","Pre-Fix","10/10/2025 12:00 AM","M","2.56","1","2/9/2026 11:35 AM","L1",""
"A0060235705","Dog","Birdie","07 year(s) 01 month(s) 16 day(s)"," Brindle / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","2/17/2019 12:00 AM","S","36.4","1","2/9/2026 11:55 AM","L3-SF","941010004019711"
"A0060235968","Dog","Carlotta","07 year(s) 01 month(s) 24 day(s)"," Black / White Bulldog / Mix","Priority","Featured Dogs","52","2/9/2019 12:00 AM","F","48.5","3","2/9/2026 12:33 PM","L2-SF",""
"A0060238116","Dog","Ryder","06 year(s) 01 month(s) 23 day(s)"," Brown / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Priority","Dogs 603","A5","2/10/2020 12:00 AM","N","45","3","2/9/2026 03:25 PM","L2-RG","941010004840034"
"A0060238546","Cat","Lenny- ADOPTED","04 year(s) 01 month(s) 24 day(s)","Harlequin Grey / White Domestic Shorthair / Mix","Adopted","Foster","Pre-Fix","2/9/2022 12:00 AM","N","12.6","1","2/9/2026 04:14 PM","L1","941010004163371"
"A0060239144","Dog","Diamond-ADOPTED","11 year(s) 01 month(s) 24 day(s)"," White Mixed Breed, Small (under 24 lbs fully grown) / Mix","Adopted","Foster","Pre-Fix","2/9/2015 12:00 AM","F","12.8","2","2/26/2026 02:21 PM","L1","941010004108430"
"A0060239321","Dog","Miles major","05 year(s) 01 month(s) 23 day(s)"," White / Grey Terrier, Pit Bull / Mix","Available","Foster","Foster Home","2/10/2021 12:00 AM","N","43","3","2/9/2026 06:33 PM","L1","941010004812222"
"A0060239953","Dog","Sapphire","00 year(s) 06 month(s) 27 day(s)"," Brown / Black Mixed Breed, Small (under 24 lbs fully grown) / Mix","Available","Foster","Foster Home","9/6/2025 12:00 AM","S","26","2","2/10/2026 12:30 AM","L1","941010004842898"
"A0060241803","Dog","Beetroot - ADOPTED","02 year(s) 01 month(s) 22 day(s)"," Brown / White Terrier, Pit Bull / Mix","Adopted","Foster","Pre-Fix","2/11/2024 12:00 AM","M","77.4","3","2/10/2026 03:20 PM","L1","941010004846778"
"A0060243366","Dog","Chloe","02 year(s) 01 month(s) 23 day(s)"," Tan / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","2/10/2024 12:00 AM","S","45","2","2/10/2026 01:34 PM","L3 SF","941010004283468"
"A0060244574","Dog","Junior","03 year(s) 01 month(s) 01 day(s)"," Apricot Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Priority","Dogs 066","B1","3/1/2023 12:00 AM","N","30.2","3","3/1/2026 04:59 PM","L2-SF","985113009358891"
"A0060245040","Dog","Pinga","01 year(s) 07 month(s) 20 day(s)"," Black / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Priority","Dogs 602","2","8/13/2024 12:00 AM","S","45","3","2/10/2026 03:37 PM","L2-RG","941010004163003"
"A0060246210","Cat","Riot- ADOPTED","00 year(s) 03 month(s) 03 day(s)"," Orange / White Domestic Shorthair / Mix","Adopted","Foster","Pre-Fix","12/30/2025 12:00 AM","M","1.12","1","2/10/2026 05:27 PM","L1",""
"A0060246471","Dog","Ainsley- ADOPTED","03 year(s) 01 month(s) 23 day(s)"," Black Mixed Breed, Large (over 44 lbs fully grown) / Mix","Adopted","Foster","Pre-Fix","2/10/2023 12:00 AM","F","54","3","2/10/2026 06:15 PM","L1","941010004016807"
"A0060247023","Cat","Duchess","00 year(s) 02 month(s) 05 day(s)"," Black / Orange Domestic Medium Hair / Mix","Under Age","Foster","Foster Home","1/28/2026 12:00 AM","F","1.2","2","2/10/2026 09:02 PM","L1",""
"A0060247027","Cat","Cleo","00 year(s) 02 month(s) 05 day(s)"," Black / White Domestic Medium Hair / Mix","Under Age","Foster","Foster Home","1/28/2026 12:00 AM","F","1.2","2","2/10/2026 09:05 PM","L1",""
"A0060247039","Dog","Sidney","09 year(s) 01 month(s) 12 day(s)"," White / Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Dogs 079","A4","2/21/2017 12:00 AM","F","43.2","3","2/11/2026 12:43 AM","L1","941010004158390"
"A0060248355","Dog","Catty-ADOPTED","04 year(s) 01 month(s) 21 day(s)"," Grey Terrier, Pit Bull / Mix","Adopted","Foster","Pre-Fix","2/12/2022 12:00 AM","M","41.4","3","2/11/2026 12:14 PM","L3-BR/SF","941010004046580"
"A0060249395","Dog","Panda","07 year(s) 01 month(s) 21 day(s)"," Grey / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Priority","Dogs 606","B1","2/12/2019 12:00 AM","N","55","3","2/11/2026 12:42 PM","L1","941010004025765"
"A0060251698","Dog","Boomer","05 year(s) 01 month(s) 21 day(s)"," Brown Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Priority","Dogs 402","3","2/12/2021 12:00 AM","N","52.6","3","2/11/2026 03:55 PM","L2-LB","941010004038203"
"A0060251921","Dog","Maggie","05 year(s) 01 month(s) 22 day(s)"," Brown Terrier, Pit Bull / Mix","Priority","Dogs 306","A1","2/11/2021 12:00 AM","S","50.8","3","2/24/2026 01:14 PM","L2-BH","982091068219823"
"A0060253407","Dog","Ruby","05 year(s) 01 month(s) 21 day(s)"," Brindle / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","2/12/2021 12:00 AM","F","71.4","3","2/11/2026 11:33 PM","L1",""
"A0060254922","Dog","Green 77","03 year(s) 01 month(s) 19 day(s)"," Tan / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Dogs 503","A6","2/14/2023 12:00 AM","S","46","3","2/12/2026 11:13 AM","L1","982091067130078"
"A0060257021","Dog","Fallon","01 year(s) 01 month(s) 20 day(s)"," Brown / Tan Terrier, Pit Bull / Australian Shepherd","Available","Dogs 079","A3","2/13/2025 12:00 AM","S","32","3","2/12/2026 02:32 PM","L1","941010004049680"
"A0060258353","Dog","Batman","00 year(s) 11 month(s) 21 day(s)"," Black Retriever, Labrador / Mix","Pending Behavior Assessment","Dogs 301","3","4/12/2025 12:00 AM","M","","1","3/26/2026 12:39 PM","STAFF ONLY",""
"A0060259729","Dog","Brian-ADOPTED","01 year(s) 07 month(s) 18 day(s)"," Brindle Terrier, American Pit Bull / Mix","Adopted","Foster","Pre-Fix","8/15/2024 12:00 AM","M","70","1","2/12/2026 08:19 PM","L2 - OA/FJ","941010003982645"
"A0060261356","Dog","Shrek","03 year(s) 01 month(s) 19 day(s)"," Tan Terrier, Pit Bull / Mix","Priority","Dogs 502","5","2/14/2023 12:00 AM","N","45.6","3","2/13/2026 11:57 AM","L3-OA/BR","941010004201609"
"A0060263317","Dog","Beyonce-Knowles","00 year(s) 03 month(s) 01 day(s)"," Apricot Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Flex","84","1/1/2026 12:00 AM","F","10.2","1","3/31/2026 11:26 AM","L2-SF","941010004760544"
"A0060263329","Cat","Meowalcom X","00 year(s) 02 month(s) 20 day(s)"," Brown / White Domestic Shorthair / Mix","Adopted","Foster","Pre-Fix","1/13/2026 12:00 AM","M","2.8","3","2/13/2026 02:50 PM","L1",""
"A0060263362","Cat","Maya Meowlou","00 year(s) 02 month(s) 20 day(s)"," Orange / Brown Domestic Shorthair / Mix","Adopted","Foster","Pre-Fix","1/13/2026 12:00 AM","M","2.5","3","2/13/2026 02:50 PM","L1",""
"A0060263435","Dog","Kelly Rowland","00 year(s) 03 month(s) 01 day(s)"," White / Brown Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Flex","84","1/1/2026 12:00 AM","F","11.2","1","3/31/2026 11:26 AM","L2-SF","941010004735725"
"A0060263441","Dog","LaTavia-Roberson","00 year(s) 03 month(s) 01 day(s)"," Brown / Black Mixed Breed, Small (under 24 lbs fully grown) / Mix","Available","Flex","84","1/1/2026 12:00 AM","F","12.8","2","3/31/2026 11:26 AM","L2-SF","941010004719190"
"A0060263448","Dog","Michelle Williams","00 year(s) 03 month(s) 01 day(s)"," White / Brown Mixed Breed, Small (under 24 lbs fully grown) / Mix","Available","Flex","84","1/1/2026 12:00 AM","F","13.6","1","3/31/2026 11:26 AM","L2-SF","941010004484697"
"A0060265533","Dog","Big Baby","02 year(s) 07 month(s) 16 day(s)"," Grey / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Priority","Foster","Foster Home","8/17/2023 12:00 AM","M","82.6","2","2/13/2026 07:40 PM","L3-SF","941010004135739"
"A0060265625","Dog","Nolan","03 year(s) 01 month(s) 18 day(s)"," Brown Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Priority","Featured Dogs","56","2/15/2023 12:00 AM","M","55.4","2","2/13/2026 09:02 PM","L2-SF",""
"A0060266687","Cat","Ginger","","Tabby Orange / White Domestic Shorthair / Mix","Available","Foster","Foster Home","","F","9","3","2/14/2026 12:38 PM","","941010004071504"
"A0060266692","Cat","Oliver","00 year(s) 01 month(s) 23 day(s)","Tabby Orange / White Domestic Shorthair / Mix","Under Age","Foster","Foster Home","2/10/2026 12:00 AM","F","1.1","3","2/14/2026 12:38 PM","",""
"A0060268259","Cat","Safio Golo-ADOPTED","00 year(s) 04 month(s) 19 day(s)"," Grey Domestic Longhair / Mix","Adopted","Foster","Pre-Fix","11/14/2025 12:00 AM","M","3.5","1","2/14/2026 05:30 PM","L1",""
"A0060268329","Dog","Rockette","01 year(s) 01 month(s) 17 day(s)"," Grey Terrier, American Pit Bull / Mix","Available","Foster","Foster Home","2/16/2025 12:00 AM","S","26","3","2/14/2026 05:47 PM","L2-SF/BR","941010004035645"
"A0060272500","Dog","Bullarina","06 year(s) 01 month(s) 16 day(s)"," Brown / White Terrier, Pit Bull / Mix","Available","Dogs 606","B4","2/17/2020 12:00 AM","S","64","3","2/16/2026 02:37 PM","L1","941010004990600"
"A0060272652","Dog","Bryanne Of Tarth","00 year(s) 09 month(s) 16 day(s)","Merle Tan / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Dogs 303","B1","6/17/2025 12:00 AM","S","40.2","3","2/16/2026 01:58 PM","L1","941010004948835"
"A0060272711","Dog","Remus Lupin","03 year(s) 01 month(s) 17 day(s)"," White / Black Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Dogs 503","B4","2/16/2023 12:00 AM","N","56.6","2","3/12/2026 07:34 PM","L2-SF","941010004132979"
"A0060276457","Dog","Shiloh","03 year(s) 01 month(s) 14 day(s)"," Tan German Shepherd / Mix","Priority","Featured Dogs","55","2/19/2023 12:00 AM","S","62.4","3","2/17/2026 11:30 AM","L2-OA","941010004060364"
"A0060277089","Dog","Jesse Jackson","00 year(s) 09 month(s) 15 day(s)"," Black Mixed Breed, Small (under 24 lbs fully grown) / Mix","Priority","Dogs 501","5","6/18/2025 12:00 AM","N","54","3","2/17/2026 12:20 PM","L2-LB","941010004015989"
"A0060277543","Cat","Laundry Detergent","00 year(s) 01 month(s) 23 day(s)"," Tan / Black Domestic Shorthair / Mix","Under Age","Foster","Foster Home","2/10/2026 12:00 AM","M","9","1","2/17/2026 01:03 PM","L1",""
"A0060277557","Cat","Scent Beads","00 year(s) 01 month(s) 23 day(s)"," Tan / Black Domestic Shorthair / Mix","Under Age","Foster","Foster Home","2/10/2026 12:00 AM","M","11","1","2/17/2026 01:03 PM","L1",""
"A0060277568","Cat","Lint Roll","00 year(s) 01 month(s) 23 day(s)","Tabby Tan / Black Domestic Shorthair / Mix","Under Age","Foster","Foster Home","2/10/2026 12:00 AM","F","0.5","1","2/17/2026 01:03 PM","L1",""
"A0060277581","Cat","Dryer Sheet","00 year(s) 01 month(s) 23 day(s)"," Black / White Domestic Shorthair / Mix","Under Age","Foster","Foster Home","2/10/2026 12:00 AM","M","6","1","2/17/2026 01:03 PM","L1",""
"A0060277607","Cat","Ironing Board","00 year(s) 01 month(s) 23 day(s)"," Black / Orange Domestic Shorthair / Mix","Under Age","Foster","Foster Home","2/10/2026 12:00 AM","F","0.6","1","2/17/2026 01:03 PM","L1",""
"A0060278660","Dog","Daza - ADOPTED","00 year(s) 03 month(s) 16 day(s)"," Black / Tan Mixed Breed, Small (under 24 lbs fully grown) / Mix","Adopted","Foster","Pre-Fix","12/17/2025 12:00 AM","M","7.5","1","2/17/2026 02:36 PM","L1","941010004222896"
"A0060278935","Dog","Dude","08 year(s) 01 month(s) 16 day(s)"," Grey / White Bully American  - Standard / Mix","Priority","Foster","Foster Home","2/17/2018 12:00 AM","N","44","3","2/21/2026 12:44 PM","L2-SF/BH","941010004509822"
"A0060281154","Dog","Wanda","03 year(s) 01 month(s) 14 day(s)"," Tan German Shepherd / Mix","Priority","Dogs 302","3","2/19/2023 12:00 AM","S","55","3","2/17/2026 06:41 PM","L3-SF/BH",""
"A0060281489","Dog","Olive","02 year(s) 01 month(s) 15 day(s)"," Tan Terrier, Pit Bull / Mix","Available","Dogs 088","B10","2/18/2024 12:00 AM","N","52","3","2/17/2026 09:31 PM","L1","981020051355058"
"A0060281627","Dog","Jake Ballard",""," Black / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Court","Dogs 201","2","","M","55","1","2/18/2026 01:38 AM","STAFF ONLY",""
"A0060282005","Dog","Roller Rink","04 year(s) 01 month(s) 14 day(s)"," Brown / White Terrier, American Pit Bull / Mix","Priority","Dogs 601","5","2/19/2022 12:00 AM","N","62","3","2/18/2026 09:41 AM","L3-H/OA/RG","941010004086495"
"A0060282377","Dog","Zippy","02 year(s) 01 month(s) 15 day(s)"," Black / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Priority","Dogs 064","A4","2/18/2024 12:00 AM","N","53.4","3","2/18/2026 10:51 AM","L3-A","941010003976660"
"A0060283968","Dog","Bunny","02 year(s) 07 month(s) 14 day(s)"," White Terrier, Pit Bull / Terrier, Bull","Priority","Dogs 401","7","8/19/2023 12:00 AM","F","","3","2/18/2026 12:49 PM","L2-SD/BR",""
"A0060287368","Dog","Alex","07 year(s) 01 month(s) 14 day(s)"," Brown / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Dogs 403","B2","2/19/2019 12:00 AM","M","50","3","2/18/2026 05:07 PM","L3-OD","941010004027596"
"A0060288269","Dog","King J","05 year(s) 01 month(s) 15 day(s)"," Brown Terrier, Pit Bull / Mix","Priority","Dogs 068","A2","2/18/2021 12:00 AM","N","56.6","3","2/18/2026 08:03 PM","L2-OA/BR","985113009343291"
"A0060288426","Dog","Rosa","02 year(s) 01 month(s) 14 day(s)"," Brown / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Priority","Dogs 506","A4","2/19/2024 12:00 AM","S","56","2","2/18/2026 10:53 PM","L2-LR","941010004040086"
"A0060288508","Dog","Geronimo","03 year(s) 01 month(s) 13 day(s)"," Brindle / White Terrier, Pit Bull / Mix","Priority","Dogs 401","9","2/20/2023 12:00 AM","N","47","3","2/19/2026 02:38 PM","L3-A/SF","941010004160674"
"A0060291396","Dog","The Lady Chablis-ADOPTED","03 year(s) 01 month(s) 13 day(s)"," Grey / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Trial Adoption","Foster","Trial Adoption","2/20/2023 12:00 AM","S","46.2","3","2/19/2026 01:08 PM","L1","941010004036399"
"A0060291815","Dog","Diesel","06 year(s) 01 month(s) 14 day(s)"," Grey / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Dogs 406","A3","2/19/2020 12:00 AM","N","64.4","3","2/19/2026 01:41 PM","L1","941010004032937"
"A0060292027","Dog","Harrison Wright","02 year(s) 01 month(s) 13 day(s)"," Black / Tan Bully American  - Standard / Mix","Court","Dog ISO 155","A3","2/20/2024 12:00 AM","M","62","2","2/19/2026 03:30 PM","L2-SF",""
"A0060292048","Dog","Gandalf the Gray","14 year(s) 01 month(s) 13 day(s)"," Grey Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","2/20/2012 12:00 AM","N","62.2","1","2/19/2026 02:04 PM","L1","985113005999658"
"A0060292070","Dog","Purdy","04 year(s) 01 month(s) 13 day(s)"," Grey Terrier, Pit Bull","Priority","Dogs 303","B4","2/20/2022 12:00 AM","S","39","2","2/19/2026 02:25 PM","L2-BR","941010004019524"
"A0060292308","Dog","Zima-ADOPTED","03 year(s) 01 month(s) 13 day(s)"," Grey / Brown Mixed Breed, Small (under 24 lbs fully grown) / Mix","Trial Adoption","Foster","Trial Adoption","2/20/2023 12:00 AM","S","6","1","2/19/2026 02:50 PM","L2-SF","941010004018070"
"A0060294791","Dog","Cannon","05 year(s) 01 month(s) 14 day(s)"," Grey Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Foster","Foster Home","2/19/2021 12:00 AM","N","89","3","2/28/2026 03:37 PM","L1","941010004026169"
"A0060295209","Dog","Zekrom - ADOPTED",""," Black / Brown Rottweiler / Mix","Adopted","Foster","Pre-Fix","","M","87","3","2/19/2026 09:28 PM","L3- BH/A","941010004753588"
"A0060295212","Dog","Abby Whelan","01 year(s) 01 month(s) 12 day(s)"," Tan Retriever / Mix","Court","Dog ISO 155","A4","2/21/2025 12:00 AM","S","58.8","1","2/19/2026 07:00 PM","L1","941010004089403"
"A0060295416","Dog","CHEWY","09 year(s) 01 month(s) 13 day(s)"," Black / White Terrier, Pit Bull / Mix","Priority","Dogs 306","A6","2/20/2017 12:00 AM","N","60.6","3","2/20/2026 08:10 AM","L2-BH","985141002221853"
"A0060297231","Dog","Milo","01 year(s) 00 month(s) 13 day(s)"," Brown / White Mixed Breed, Small (under 24 lbs fully grown) / Mix","Available","Foster","Foster Home","3/20/2025 12:00 AM","N","37.8","3","2/20/2026 11:45 AM","L1","941010004059560"
"A0060300232","Dog","Tater","00 year(s) 08 month(s) 12 day(s)"," Brown Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Dogs 506","B4","7/21/2025 12:00 AM","N","34","3","2/18/2026 04:29 PM","L1","941010004011204"
"A0060301145","Dog","Patrick Paws","02 year(s) 01 month(s) 12 day(s)"," Tan Mixed Breed, Large (over 44 lbs fully grown) / Mix","Priority","Dogs 506","B5","2/21/2024 12:00 AM","N","49.4","3","2/20/2026 06:40 PM","L2-OA","941010004021682"
"A0060301668","Dog","Travis","01 year(s) 01 month(s) 12 day(s)"," Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Priority","Dogs 064","B3","2/21/2025 12:00 AM","N","43.8","3","2/20/2026 10:07 PM","L2-BR/OA","941010004163110"
"A0060302187","Dog","CHURRO","02 year(s) 01 month(s) 12 day(s)"," Black / White Chihuahua, Short Coat / Pomeranian","Available","Dogs 079","A5","2/21/2024 12:00 AM","N","31","3","3/30/2026 11:39 AM","L3-H/SD","985141008136185"
"A0060302456","Dog","Lina-ADOPTED","01 year(s) 01 month(s) 12 day(s)"," Brown / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Adopted","Foster","Pre-Fix","2/21/2025 12:00 AM","F","45.2","3","2/21/2026 11:45 AM","L3-SF/SD","941010004066748"
"A0060303816","Dog","Kamara- ADOPTED","00 year(s) 08 month(s) 12 day(s)"," Brown Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Trial Adoption","Foster","Trial Adoption","7/21/2025 12:00 AM","S","35.2","3","2/21/2026 03:21 PM","L1","941010004068166"
"A0060304685","Dog","Duece","03 year(s) 01 month(s) 11 day(s)"," Brindle Mixed Breed, Large (over 44 lbs fully grown) / Mix","Court","Dog ISO 156","K2","2/22/2023 12:00 AM","M","89.6","1","2/21/2026 06:46 PM","L1",""
"A0060306618","Dog","Pinky-ADOPTED","01 year(s) 01 month(s) 10 day(s)"," Fawn Terrier, Pit Bull / Mix","Trial Adoption","Foster","Trial Adoption","2/23/2025 12:00 AM","S","42.2","3","2/22/2026 06:19 PM","L2-SF/SD","941010004134522"
"A0060309992","Dog","Tricky - ADOPTED","05 year(s) 01 month(s) 10 day(s)"," Grey / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Trial Adoption","Foster","Foster Home","2/23/2021 12:00 AM","S","44.4","3","2/23/2026 02:20 PM","L1","941010004025989"
"A0060310742","Dog","Ace","03 year(s) 01 month(s) 10 day(s)"," Brown / White Terrier, Pit Bull / Mix","Available","Foster","Foster Home","2/23/2023 12:00 AM","N","78.4","3","2/23/2026 03:35 PM","L1","900235000351026"
"A0060314357","Dog","Ace - ADOPTED","04 year(s) 08 month(s) 08 day(s)"," Tan / White Mixed Breed, Large (over 44 lbs fully grown) / Mix","Trial Adoption","Foster","Trial Adoption","7/25/2021 12:00 AM","N","60","3","2/24/2026 11:26 AM","L1","981020000840129"
"A0060314449","Dog","Marcellous","06 year(s) 01 month(s) 09 day(s)","Brindle Brown / Black Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Dogs 088","A10","2/24/2020 12:00 AM","N","88.4","3","2/24/2026 11:46 AM","L1","985113007008500"
"A0060315257","Dog","Bailey","02 year(s) 01 month(s) 09 day(s)"," Black German Shepherd / Dalmatian","Priority","Dogs 067","A1","2/24/2024 12:00 AM","N","43.8","3","2/24/2026 01:06 PM","L1","941010004073660"
"A0060315850","Dog","Bluee","03 year(s) 07 month(s) 06 day(s)"," Blue / White Terrier, Pit Bull / Mix","Priority","Dogs 503","A1","8/27/2022 12:00 AM","S","54.2","3","2/24/2026 01:40 PM","L2-OA","985113008073582"
"A0060316961","Dog","Geralt-ADOPTED","03 year(s) 01 month(s) 08 day(s)"," Grey Cane Corso / Mix","Available","Dogs 303","B2","2/25/2023 12:00 AM","N","72.2","3","2/24/2026 03:19 PM","L1","985113009570655"
"A0060323042","Dog","Leela","03 year(s) 01 month(s) 08 day(s)"," Tan / White Terrier, Pit Bull / Mix","Priority","Dogs 603","B1","2/25/2023 12:00 AM","S","49.4","3","2/25/2026 03:04 PM","L2-BH/SF","941010004014165"
"A0060535954","Dog","Brooke","03 year(s) 01 month(s) 07 day(s)"," Brown Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Dogs 506","A3","2/26/2023 12:00 AM","S","46.4","3","2/25/2026 07:22 PM","L1","941010004152877"
"A0060537883","Dog","Blake",""," White / Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Pending Behavior Assessment","Dogs 301","4","","M","65","1","2/25/2026 07:58 PM","STAFF ONLY",""
"A0060537945","Dog","Tana","00 year(s) 08 month(s) 06 day(s)"," Fawn Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","7/27/2025 12:00 AM","S","36","3","2/25/2026 08:15 PM","L3-SF","941010004139356"
"A0060538125","Dog","Nathan","01 year(s) 01 month(s) 06 day(s)"," Grey Terrier, Pit Bull / Mix","Priority","Dogs 081","A1","2/27/2025 12:00 AM","N","49.4","3","2/25/2026 10:14 PM","L2- LB","941010004011615"
