"AnimalNumber","AnimalType","AnimalName","Age","ColorAndBreed","Stage","Location","SubLocation","DateOfBirth","Sex","AnimalWeight","NumberOfPictures","IntakeDateTime","ARN","MicrochipNumber"
"A0060642192","Dog","Knuckles- ADOPTED","00 year(s) 02 month(s) 12 day(s)"," Black / White Mixed Breed, Small (under 24 lbs fully grown) / Mix","Trial Adoption","Foster","Trial Adoption","1/21/2026 12:00 AM","N","13.8","1","3/17/2026 01:34 PM","L1","941010004718981"
"A0060642445","Dog","Skink","00 year(s) 02 month(s) 12 day(s)"," Black / Brown Mixed Breed, Large (over 44 lbs fully grown) / Mix","Available","Dogs 402","C5","1/21/2026 12:00 AM","N","16","1","3/17/2026 01:54 PM","L3-SF","941010004737274"
"A0060642690","Dog","Flobberscotch","01 year(s) 06 month(s) 16 day(s)"," Grey / Brown Terrier, Pit Bull / Mix","Priority","Dogs 401","3","9/17/2024 12:00 AM","N","46.6","2","3/17/2026 02:35 PM","L3 - OA","941010004716864"
"A0060642753","Cat","Malley","01 year(s) 09 month(s) 27 day(s)","Tortoiseshell Black / Orange Domestic Shorthair / Mix","Available","Cat Colony","A","6/6/2024 12:00 AM","S","","2","3/17/2026 02:16 PM","L3-SF/BH",""
"A0060643525","Dog","Puppy 1",""," Beige Mixed Breed, Small (under 24 lbs fully grown) / Mix","Available","Parvo","1","","M","","0","3/17/2026 03:29 PM","",""
"A0060643559","Dog","Puppy 2","00 year(s) 03 month(s) 10 day(s)"," White / Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Dogs 064","C2","12/23/2025 12:00 AM","N","16.2","2","3/17/2026 03:29 PM","L1","941010004759298"
"A0060643577","Dog","Puppy 3","00 year(s) 03 month(s) 10 day(s)"," White / Black Mixed Breed, Small (under 24 lbs fully grown) / Mix","Available","Dogs 502","C2","12/23/2025 12:00 AM","F","15.8","2","3/17/2026 03:29 PM","L1","941010004766057"
"A0060644737","Dog","Awesome","03 year(s) 00 month(s) 12 day(s)"," Rust Terrier, Pit Bull / Mix","Pending Medical Assessment/Treatment","Dogs 302","6","3/21/2023 12:00 AM","F","47.8","1","3/17/2026 05:17 PM","STAFF ONLY",""
"A0060645726","Dog","Macy","04 year(s) 00 month(s) 14 day(s)"," Grey / White Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Available","Foster","Foster Home","3/19/2022 12:00 AM","S","31","1","3/17/2026 11:11 PM","L3-SF","941010005028297"
"A0060645847","Cat","Selma","00 year(s) 01 month(s) 15 day(s)"," Black / White Domestic Medium Hair / Mix","Under Age","Foster","Foster Home","2/18/2026 12:00 AM","F","0.5","1","3/17/2026 11:14 PM","L1",""
"A0060645848","Cat","Patrick","00 year(s) 01 month(s) 15 day(s)"," White / Black Domestic Medium Hair / Mix","Under Age","Foster","Foster Home","2/18/2026 12:00 AM","M","0.5","1","3/17/2026 11:16 PM","L1",""
"A0060647264","Dog","Murphette- ADOPTED","00 year(s) 02 month(s) 26 day(s)"," Black Mixed Breed, Medium (up to 44 lbs fully grown) / Mix","Adopted","Foster","Pre-Fix","1/7/2026 12:00 AM","F","8.6","1","3/18/2026 11:14 AM","L1","941010005085086"
"A0060647631","Cat","Peeps",""," White / Black Domestic Shorthair / Mix","Under Age","Foster","Foster Home","","F","10","1","3/18/2026 11:52 AM","",""
"A0060647643","Cat","Carrots",""," Orange / White Domestic Shorthair / Mix","Under Age","Foster","Foster Home","","M","11.5","1","3/18/2026 11:52 AM","",""
"A0060647652","Cat","Chick","00 year(s) 01 month(s) 07 day(s)"," Brown / Tan Domestic Shorthair / Mix","Under Age","Foster","Foster Home","2/26/2026 12:00 AM","M","11.5","1","3/18/2026 11:52 AM","L1",""
"A0060647664","Cat","Egg","00 year(s) 01 month(s) 07 day(s)"," Brown / White Domestic Shorthair / Mix","Under Age","Foster","Foster Home","2/26/2026 12:00 AM","F","10.5","1","3/18/2026 11:52 AM","L1",""
"A0060647691","Cat","Bunny","00 year(s) 01 month(s) 07 day(s)"," Brown / Black Domestic Shorthair / Mix","Under Age","Foster","Foster Home","2/26/2026 12:00 AM","M","11","1","3/18/2026 11:52 AM","L1",""
"A0060647873","Dog","Landry","02 year(s) 06 month(s) 16 day(s)","Brindle Brown / Grey Terrier, Pit Bull / Mix","Available","Dogs 402","2","9/17/2023 12:00 AM","N","58.2","3","3/18/2026 01:15 PM","L2 - SF/A","941010004495650"
"A0060647884","Dog","Avery","05 year(s) 00 month(s) 15 day(s)"," Brown / White Terrier, Pit Bull","Available","Dogs 603","B6","3/18/2021 12:00 AM","S","62.8","3","3/18/2026 01:15 PM","L2 - A","941010004764784"
